plotID,pointID,plotType,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,siteID
BONA_070,57,tower,basePlot,65.153816,-147.510146,WGS84,6N,476081.825,7225693.921,0.14,Geo 7X,239.45,0.27,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,41,tower,basePlot,65.153632,-147.509712,WGS84,6N,476102.033,7225673.233,0.1,Geo 7X,237.66,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,61,tower,basePlot,65.153812,-147.509294,WGS84,6N,476121.774,7225693.08,0.1,Geo 7X,238.37,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,23,tower,basePlot,65.153455,-147.509706,WGS84,6N,476102.156,7225653.479,0.1,Geo 7X,236.01,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,43,tower,basePlot,65.153629,-147.509289,WGS84,6N,476121.862,7225672.66,0.1,Geo 7X,236.66,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,59,tower,basePlot,65.153811,-147.50972,WGS84,6N,476101.802,7225693.133,0.1,Geo 7X,238.72,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,39,tower,basePlot,65.153637,-147.510142,WGS84,6N,476081.869,7225673.947,0.1,Geo 7X,238.09,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,21,tower,basePlot,65.15346,-147.510129,WGS84,6N,476082.328,7225654.15,0.1,Geo 7X,236.54,0.11,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,25,tower,basePlot,65.153459,-147.509276,WGS84,6N,476122.332,7225653.783,0.1,Geo 7X,235.98,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,31,tower,basePlot,65.153545,-147.509928,WGS84,6N,476091.83,7225663.637,0.1,Geo 7X,237.25,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,49,tower,basePlot,65.153724,-147.509928,WGS84,6N,476091.975,7225683.503,0.1,Geo 7X,238.43,0.12,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,51,tower,basePlot,65.153723,-147.509504,WGS84,6N,476111.834,7225683.224,0.1,Geo 7X,237.94,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_070,33,tower,basePlot,65.153546,-147.509493,WGS84,6N,476112.23,7225663.482,0.1,Geo 7X,235.97,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_071,21,tower,basePlot,65.154801,-147.507618,WGS84,6N,476201.27,7225802.735,0.22,Geo 7X,244.75,0.19,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_071,23,tower,basePlot,65.154803,-147.507193,WGS84,6N,476221.183,7225802.749,0.11,Geo 7X,244.24,0.13,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_071,25,tower,basePlot,65.154803,-147.506777,WGS84,6N,476240.66,7225802.584,0.1,Geo 7X,243.75,0.1,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
BONA_071,31,tower,basePlot,65.154885,-147.507408,WGS84,6N,476211.143,7225811.983,0.17,Geo 7X,245.88,0.16,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,BONA
